bodyId,cell_type,kind,region,mean_rate,max_rate,rate_sd,fraction_frames_active,geometry_displayed
15434,Ta depressor MN,MN,T1,0.7201730012893677,0.7949026823043823,0.04491008073091507,0.0,True
15446,Ta levator MN,MN,T1,0.46233484148979187,0.5281806588172913,0.04329206794500351,0.0,True
15550,MNhl63,MN,T3,0.0,0.0,0.0,0.0,True
15616,MNml80,MN,T2,0.0,0.0,0.0,0.0,True
15623,Ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
15712,ltm1-tibia MN,MN,T3,0.0,0.0,0.0,0.0,True
15720,ltm1-tibia MN,MN,T1,0.0,0.0,0.0,0.0,True
15735,MNhl01,MN,T3,0.16774903237819672,0.7301058173179626,0.1289282590150833,0.0,True
15791,Acc. ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
15818,ltm2-femur MN,MN,T1,0.0,0.0,0.0,0.0,True
15857,MNhl87,MN,T3,0.0,0.0,0.0,0.0,True
15873,ltm1-tibia MN,MN,T2,0.0,0.0,0.0,0.0,True
15879,MNhl74,MN,T3,0.0,0.0,0.0,0.0,True
15883,Sternal posterior rotator MN,MN,T2,0.0,0.0,0.0,0.0,True
15893,ltm MN,MN,T3,0.0,0.0,0.0,0.0,True
16017,MNml85,MN,T2,0.0,0.0,0.0,0.0,True
16035,Sternal posterior rotator MN,MN,T2,0.0,0.0,0.0,0.0,True
16228,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
16250,Tergopleural/Pleural promotor MN,MN,T1,0.05110679939389229,0.2588832974433899,0.06048472598195076,0.0,True
16295,Sternal anterior rotator MN,MN,T2,0.0,0.0,0.0,0.0,True
16346,Ta levator MN,MN,T1,1.7972760200500488,1.9723049402236938,0.1275152713060379,1.0,True
16356,ltm2-femur MN,MN,T3,0.0,0.0,0.0,0.0,True
16400,Acc. tr flexor MN,MN,T1,3.0507235527038574,3.13417911529541,0.05232257395982742,1.0,True
16419,Pleural remotor/abductor MN,MN,T1,0.0,0.0,0.0,0.0,True
16492,Ta depressor MN,MN,T1,0.0,0.0,0.0,0.0,True
16495,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
