experiment_id,condition,comparison,metric,n_pairs,mean_difference,ci_low,ci_high,cohens_dz,p_raw,test,p_holm
B2,spacing,full - direct,motor_rhythm_power,8,-0.00996226817369461,-0.024296131543815137,-0.00037135183811187744,-0.5121692099263264,0.1907091739994386,paired two-sided t; descriptive at small n,1.0
B2,spacing,full - direct,key_accuracy,8,-0.41666666666666663,-0.5625,-0.28125,-1.9943100880436642,0.0007819631804737887,paired two-sided t; descriptive at small n,0.0969634343787498
B2,spacing,full - direct,timing_mae_s,8,0.01869499458874472,0.015188267045454725,0.021897913961039035,3.542681923854312,2.111119899886888e-05,paired two-sided t; descriptive at small n,0.0030189014568382496
B2,spacing,full - no_body_mapping,motor_rhythm_power,8,-0.00038708001375198364,-0.0018725432455539703,0.0010439271107316025,-0.16990842312404844,0.6454753117514364,paired two-sided t; descriptive at small n,1.0
B2,spacing,full - no_body_mapping,key_accuracy,8,0.020833333333333343,0.0,0.052083333333333356,0.5400617248673217,0.1704706607870537,paired two-sided t; descriptive at small n,1.0
B2,spacing,full - no_body_mapping,timing_mae_s,8,0.0010357142857143776,0.0004786458333333776,0.0016607142857143747,1.173412582767442,0.012784106298876902,paired two-sided t; descriptive at small n,1.0
B2,spacing,full - no_memory,motor_rhythm_power,8,-0.004163466393947601,-0.016983899287879467,0.008788050524890425,-0.21179085656331925,0.5680216659145072,paired two-sided t; descriptive at small n,1.0
B2,spacing,full - no_memory,key_accuracy,8,0.020833333333333322,-0.020833333333333332,0.05208333333333334,0.3535533905932737,0.3506166628202079,paired two-sided t; descriptive at small n,1.0
B2,spacing,full - no_memory,timing_mae_s,8,-0.015650297619047453,-0.01785130208333312,-0.01358928571428559,-4.7737911059635385,2.8707167208628297e-06,paired two-sided t; descriptive at small n,0.00042773679140856164
B3,disable_LF,full - direct,motor_rhythm_power,8,-0.00013371184468269348,-0.011761296540498734,0.011505575850605965,-0.007453579618439896,0.9837686663270686,paired two-sided t; descriptive at small n,1.0
B3,disable_LF,full - direct,key_accuracy,8,-0.24999999999999997,-0.4375,-0.0625,-0.8461141122266491,0.047944772179623445,paired two-sided t; descriptive at small n,1.0
B3,disable_LF,full - direct,timing_mae_s,8,0.01968593073593078,0.016583008658008894,0.022217986111111143,4.488095084511262,4.355595028203877e-06,paired two-sided t; descriptive at small n,0.0006402724691459699
B3,disable_LF,full - no_memory,motor_rhythm_power,8,0.0009020902216434479,-0.012960727699100972,0.013555322960019113,0.044220599565584766,0.9039805934580848,paired two-sided t; descriptive at small n,1.0
B3,disable_LF,full - no_memory,key_accuracy,8,-0.06249999999999999,-0.12499999999999999,6.938893903907228e-18,-0.643796306459214,0.11141646787533994,paired two-sided t; descriptive at small n,1.0
B3,disable_LF,full - no_memory,timing_mae_s,8,-0.01665228174603165,-0.018589422123015835,-0.015131324404761743,-6.034373386122303,5.813586261337667e-07,paired two-sided t; descriptive at small n,9.243602155526892e-05
B3,disable_LM,full - direct,motor_rhythm_power,8,-0.006284292787313461,-0.016912310384213924,0.0028117121197283276,-0.4141127628217617,0.2798046359209509,paired two-sided t; descriptive at small n,1.0
B3,disable_LM,full - direct,key_accuracy,8,-0.21875000000000003,-0.36458333333333337,-0.10416666666666669,-1.0485032066517366,0.020937570206924636,paired two-sided t; descriptive at small n,1.0
B3,disable_LM,full - direct,timing_mae_s,8,0.01661458333333338,0.01329487847222237,0.01945833333333332,3.461553744559039,2.4590367023263564e-05,paired two-sided t; descriptive at small n,0.003491832117303426
